update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
43,train,226.96264743804932,0.4571827217687006,0.4433862566947937,496.4375,992.875,8,0.23106582462787628,0.46213164925575256,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
44,train,205.4446987575955,0.43521296665137327,0.4234244210852517,472.05555555555554,944.1111111111111,9,0.21682390570640564,0.4336478114128113,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
45,train,204.54163148668079,0.42183196227775593,0.3861625123561423,484.8888888888889,969.7777777777778,9,0.20816409587860107,0.41632819175720215,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
45,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
46,train,328.25104268391925,0.47908203748565203,0.47021840512752533,685.1666666666666,1370.3333333333333,6,0.24067385494709015,0.4813477098941803,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
47,train,252.61656624930245,0.45610419493038873,0.44149168900081087,553.8571428571429,1107.7142857142858,7,0.22774434089660645,0.4554886817932129,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
48,train,297.6328061421712,0.47703935804809067,0.45841511090596515,623.9166666666666,1247.8333333333333,6,0.2527536153793335,0.505507230758667,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
49,train,312.57275826590404,0.4945771491549114,0.48587695189884733,632.0,1264.0,7,0.23667067289352417,0.47334134578704834,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
50,train,204.5194795396593,0.43747482254472575,0.4248834550380707,467.5,935.0,9,0.2172110676765442,0.4344221353530884,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
50,eval,286.32969055175784,0.45644777706321993,0.43391078114509585,627.3,nan,1,nan,nan,2,2,0.15,0.33,5,5,6,5.5,20260921T080117720781Z_ff68f4bb,42,1,0.15,0.2442732516826255,[0.15],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.10606601717798211,0.5833630944789017,0.10606601717798211,0.17272727272727273
