combo_id,algo,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,reward,rate,terminal_time,accepted
51,HEUR,0.6,0.4,0.5,3,8,6,628.9646606445312,1.0741259490460218,564.7,3.2
51,PURE,0.6,0.4,0.5,3,8,6,193.0,0.39026102622133163,494.7,0.0
52,DRL,0.6,0.4,0.5,3,8,12,693.5421691894531,1.1184871435165404,606.2,4.0
52,HEUR,0.6,0.4,0.5,3,8,12,550.9647277832031,0.936994481086731,582.4,2.6
52,PURE,0.6,0.4,0.5,3,8,12,197.4,0.3848701420363122,512.9,0.0
53,DRL,0.6,0.4,0.5,5,5,6,2488.678662109375,2.6385838985443115,918.0,16.0
53,HEUR,0.6,0.4,0.5,5,5,6,1588.4599853515624,2.144342064857483,730.6,8.8
53,PURE,0.6,0.4,0.5,5,5,6,198.8,0.3818062629986502,520.7,0.0
54,DRL,0.6,0.4,0.5,5,5,12,2696.3558837890623,3.0097230434417725,889.5,15.8
54,HEUR,0.6,0.4,0.5,5,5,12,1815.91142578125,2.2941996097564696,785.2,11.2
54,PURE,0.6,0.4,0.5,5,5,12,201.2,0.39127278481363825,514.4,0.0
55,DRL,0.6,0.4,0.5,5,8,6,2468.2597412109376,2.6594780921936034,919.3,15.4
55,HEUR,0.6,0.4,0.5,5,8,6,1746.5346435546876,2.1333375930786134,772.1,9.0
55,PURE,0.6,0.4,0.5,5,8,6,203.2,0.3857421823901156,527.6,0.0
56,DRL,0.6,0.4,0.5,5,8,12,2382.11806640625,2.567074155807495,898.9,15.2
56,HEUR,0.6,0.4,0.5,5,8,12,1786.1736083984374,2.2865819692611695,768.8,10.6
56,PURE,0.6,0.4,0.5,5,8,12,200.8,0.38364891832371695,523.7,0.0
57,DRL,0.6,0.4,0.8,3,5,6,1221.0181274414062,1.4831565976142884,797.8,5.8
57,HEUR,0.6,0.4,0.8,3,5,6,848.4632568359375,1.1614498734474181,725.8,3.6
57,PURE,0.6,0.4,0.8,3,5,6,309.6,0.4664987082239169,664.4,0.0
58,DRL,0.6,0.4,0.8,3,5,12,1109.6385009765625,1.43080313205719,774.9,6.0
58,HEUR,0.6,0.4,0.8,3,5,12,1037.2281860351563,1.2957683301694467,777.8,5.0
58,PURE,0.6,0.4,0.8,3,5,12,314.0,0.468211333742721,671.5,0.0
59,DRL,0.6,0.4,0.8,3,8,6,1367.197900390625,1.6586616277694701,803.5,6.8
59,HEUR,0.6,0.4,0.8,3,8,6,712.1331909179687,0.9291863083839417,756.1,3.0
59,PURE,0.6,0.4,0.8,3,8,6,315.4,0.48530747631341553,650.0,0.0
60,DRL,0.6,0.4,0.8,3,8,12,1084.9760864257812,1.3655933618545533,793.9,6.0
60,HEUR,0.6,0.4,0.8,3,8,12,1175.710467529297,1.4336284041404723,796.7,4.4
60,PURE,0.6,0.4,0.8,3,8,12,315.6,0.4790048054583491,658.7,0.0
61,DRL,0.6,0.4,0.8,5,5,6,3234.288037109375,2.8208455085754394,1128.0,17.8
61,HEUR,0.6,0.4,0.8,5,5,6,2676.6789794921874,2.490610647201538,1056.5,15.6
61,PURE,0.6,0.4,0.8,5,5,6,320.4,0.47304661974385187,677.6,0.0
62,DRL,0.6,0.4,0.8,5,5,12,3031.546484375,2.6701899766921997,1120.3,19.2
62,HEUR,0.6,0.4,0.8,5,5,12,3015.8010009765626,2.676025724411011,1102.5,18.0
62,PURE,0.6,0.4,0.8,5,5,12,312.2,0.46593091130201036,670.1,0.0
63,DRL,0.6,0.4,0.8,5,8,6,3366.01171875,2.8372441291809083,1169.2,22.6
63,HEUR,0.6,0.4,0.8,5,8,6,2541.0218994140623,2.4346301317214967,1024.5,14.8
63,PURE,0.6,0.4,0.8,5,8,6,311.8,0.4789481227355113,650.5,0.0
64,DRL,0.6,0.4,0.8,5,8,12,3132.000048828125,2.735664415359497,1138.0,20.2
64,HEUR,0.6,0.4,0.8,5,8,12,2770.878466796875,2.5323551654815675,1082.7,16.2
64,PURE,0.6,0.4,0.8,5,8,12,322.0,0.47720677603599243,675.3,0.0
65,DRL,0.6,0.6,0.5,3,5,6,938.2475952148437,1.4127396821975708,627.9,5.0
65,HEUR,0.6,0.6,0.5,3,5,6,526.6945129394531,0.889882504940033,585.3,2.4
65,PURE,0.6,0.6,0.5,3,5,6,205.4,0.3949649973097314,520.6,0.0
66,DRL,0.6,0.6,0.5,3,5,12,937.248486328125,1.4353770017623901,640.8,4.4
66,HEUR,0.6,0.6,0.5,3,5,12,701.9308959960938,1.1628376603126527,599.0,3.8
66,PURE,0.6,0.6,0.5,3,5,12,194.8,0.3760555016116039,518.1,0.0
67,DRL,0.6,0.6,0.5,3,8,6,868.6768859863281,1.2837787747383118,636.8,4.8
67,HEUR,0.6,0.6,0.5,3,8,6,958.4471435546875,1.5032580614089965,624.6,4.8
67,PURE,0.6,0.6,0.5,3,8,6,205.2,0.385752048981442,532.2,0.0
68,DRL,0.6,0.6,0.5,3,8,12,938.16533203125,1.441375494003296,641.3,4.8
68,HEUR,0.6,0.6,0.5,3,8,12,1054.2033081054688,1.5861052513122558,649.6,4.8
68,PURE,0.6,0.6,0.5,3,8,12,198.0,0.39449410941958984,502.3,0.0
