update,kind,reward,rate,ep_rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT,run_id,train_seed,replicate,ALPHA_EFFECTIVE,ALPHA_SATURATION,ALPHA_MEMBERS,R,V,DT,RIDE_TTL_STEPS,RP,HORIZON_MIN,DEMAND_PROFILE,TRAIN_UPDATES,REPORT_UNSCALED,OBS_DIM,R_PAPER,R_PICK_ALPHA_PAPER,PICKUP_RADIUS,ALPHA_EFFECTIVE_PAPER,ALPHA_SATURATION_PAPER
27,train,422.33045654296876,0.48376913693352663,0.4744239628314972,873.0,1746.0,5,0.23571720719337463,0.47143441438674927,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
28,train,380.4624379475911,0.5064391852879749,0.5062531133492788,751.25,1502.5,6,0.2539397180080414,0.5078794360160828,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
29,train,376.52216186523435,0.5261628868994331,0.5045046210289001,715.6,1431.2,5,0.268346905708313,0.536693811416626,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
30,train,324.0044512067522,0.49596132920342567,0.47196086815425325,653.2857142857143,1306.5714285714287,7,0.248835027217865,0.49767005443573,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
30,eval,503.4281005859375,0.5070279993815465,0.510700273513794,992.9,nan,1,nan,nan,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
31,train,499.7364273071289,0.548708676702859,0.5402873232960701,910.75,1821.5,4,0.2721596956253052,0.5443193912506104,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
32,train,406.9628740946452,0.5508182369880151,0.5291631122430166,738.8333333333334,1477.6666666666667,6,0.26627880334854126,0.5325576066970825,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
33,train,353.35464731852215,0.5033541984594332,0.4831019838651021,702.0,1404.0,6,0.2548609972000122,0.5097219944000244,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
34,train,346.6996154785156,0.5045961656448984,0.5033241758743922,687.0833333333334,1374.1666666666667,6,0.25516512989997864,0.5103302597999573,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
35,train,380.63660888671876,0.49196925020902,0.47983059883117674,773.7,1547.4,5,0.2491658329963684,0.4983316659927368,3,2,0.2,0.33,5,5,6,5.5,20260921T145350850289Z_7aec6e97,42,1,0.2,0.2442732516826255,[0.2],5.5,0.19,0.5,10,2,5760.0,stationary,50,True,79,7.778174593052023,0.1414213562373095,0.7778174593052023,0.1414213562373095,0.17272727272727273
