update,reward,rate,terminal_time_min,steps,episodes,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
13,50.05354,0.08025093,606.3333333333334,1212.6666666666667,3,12,2,0.25,0.33,5,5,6,6.0
14,49.05139,0.07351879,667.3333333333334,1334.6666666666667,3,12,2,0.25,0.33,5,5,6,6.0
15,29.430817,0.06858905,425.125,850.25,4,12,2,0.25,0.33,5,5,6,6.0
16,40.792774,0.06922699,591.0,1182.0,3,12,2,0.25,0.33,5,5,6,6.0
17,71.242256,0.083372764,855.25,1710.5,2,12,2,0.25,0.33,5,5,6,6.0
18,73.21532,0.09047377,810.5,1621.0,2,12,2,0.25,0.33,5,5,6,6.0
19,62.003155,0.086197324,714.0,1428.0,2,12,2,0.25,0.33,5,5,6,6.0
20,73.811226,0.08183123,863.75,1727.5,2,12,2,0.25,0.33,5,5,6,6.0
1,53.836514,0.070922,750.5,1501.0,2,13,2,0.25,0.5,5,5,6,5.5
2,46.766987,0.070600994,632.1666666666666,1264.3333333333333,3,13,2,0.25,0.5,5,5,6,5.5
3,43.262604,0.07381413,583.5,1167.0,3,13,2,0.25,0.5,5,5,6,5.5
4,68.328514,0.078252226,871.75,1743.5,2,13,2,0.25,0.5,5,5,6,5.5
5,76.22862,0.08073087,907.0,1814.0,2,13,2,0.25,0.5,5,5,6,5.5
6,33.471863,0.058281053,544.75,1089.5,2,13,2,0.25,0.5,5,5,6,5.5
7,43.305305,0.06979917,615.75,1231.5,2,13,2,0.25,0.5,5,5,6,5.5
8,71.4501,0.076417476,935.5,1871.0,2,13,2,0.25,0.5,5,5,6,5.5
9,46.577534,0.07474666,606.3333333333334,1212.6666666666667,3,13,2,0.25,0.5,5,5,6,5.5
10,120.66734,0.087218896,1383.5,2767.0,1,13,2,0.25,0.5,5,5,6,5.5
11,55.59404,0.074872285,742.5,1485.0,2,13,2,0.25,0.5,5,5,6,5.5
12,36.94219,0.06653169,527.6666666666666,1055.3333333333333,3,13,2,0.25,0.5,5,5,6,5.5
13,58.575726,0.07281451,804.0,1608.0,2,13,2,0.25,0.5,5,5,6,5.5
14,80.02214,0.08188966,966.0,1932.0,2,13,2,0.25,0.5,5,5,6,5.5
15,68.27054,0.07245932,937.25,1874.5,2,13,2,0.25,0.5,5,5,6,5.5
16,42.302395,0.07061127,598.1666666666666,1196.3333333333333,3,13,2,0.25,0.5,5,5,6,5.5
17,43.16262,0.0716766,603.0,1206.0,2,13,2,0.25,0.5,5,5,6,5.5
18,66.50871,0.07918196,839.0,1678.0,2,13,2,0.25,0.5,5,5,6,5.5
19,54.569702,0.07654542,713.5,1427.0,2,13,2,0.25,0.5,5,5,6,5.5
20,64.17676,0.07481929,864.25,1728.5,2,13,2,0.25,0.5,5,5,6,5.5
1,47.892212,0.07570859,633.6666666666666,1267.3333333333333,3,14,2,0.25,0.5,5,5,6,6.0
2,86.73495,0.088522196,961.0,1922.0,2,14,2,0.25,0.5,5,5,6,6.0
3,70.822014,0.07579944,915.5,1831.0,2,14,2,0.25,0.5,5,5,6,6.0
4,59.425716,0.07567342,750.25,1500.5,2,14,2,0.25,0.5,5,5,6,6.0
5,82.80455,0.08153718,1015.5,2031.0,2,14,2,0.25,0.5,5,5,6,6.0
6,77.95576,0.0879266,876.5,1753.0,2,14,2,0.25,0.5,5,5,6,6.0
7,134.75545,0.08859661,1521.0,3042.0,1,14,2,0.25,0.5,5,5,6,6.0
8,52.872208,0.07481426,693.5,1387.0,2,14,2,0.25,0.5,5,5,6,6.0
9,73.719,0.08149215,898.0,1796.0,2,14,2,0.25,0.5,5,5,6,6.0
10,89.84108,0.08848332,1010.25,2020.5,2,14,2,0.25,0.5,5,5,6,6.0
11,71.39058,0.0823555,833.25,1666.5,2,14,2,0.25,0.5,5,5,6,6.0
12,72.04765,0.08240659,861.75,1723.5,2,14,2,0.25,0.5,5,5,6,6.0
13,70.64644,0.08212362,871.0,1742.0,2,14,2,0.25,0.5,5,5,6,6.0
14,76.03723,0.08830126,863.0,1726.0,2,14,2,0.25,0.5,5,5,6,6.0
15,37.870533,0.0697671,527.75,1055.5,2,14,2,0.25,0.5,5,5,6,6.0
16,67.503296,0.07767749,804.25,1608.5,2,14,2,0.25,0.5,5,5,6,6.0
17,73.5511,0.079064,897.5,1795.0,2,14,2,0.25,0.5,5,5,6,6.0
18,137.23225,0.096101016,1428.0,2856.0,1,14,2,0.25,0.5,5,5,6,6.0
19,52.2604,0.071718454,715.0,1430.0,2,14,2,0.25,0.5,5,5,6,6.0
20,51.01351,0.07402384,690.5,1381.0,2,14,2,0.25,0.5,5,5,6,6.0
1,73.24363,0.078202456,937.0,1874.0,2,15,2,0.25,0.67,5,5,6,5.5
2,68.361305,0.07686415,875.0,1750.0,2,15,2,0.25,0.67,5,5,6,5.5
3,68.93929,0.075516194,907.75,1815.5,2,15,2,0.25,0.67,5,5,6,5.5
4,63.379124,0.06631214,941.5,1883.0,2,15,2,0.25,0.67,5,5,6,5.5
5,79.49464,0.07945491,1000.5,2001.0,1,15,2,0.25,0.67,5,5,6,5.5
6,48.288246,0.06740227,715.0,1430.0,2,15,2,0.25,0.67,5,5,6,5.5
7,53.103725,0.076296754,689.25,1378.5,2,15,2,0.25,0.67,5,5,6,5.5
8,52.41407,0.07189859,729.0,1458.0,1,15,2,0.25,0.67,5,5,6,5.5
