update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
19,train,124.38820301402698,0.3466820777198841,351.09090909090907,702.1818181818181,11,0.18524610996246338,0.37049221992492676,2,2,0.1,0.5,5,5,6,5.5
20,train,111.75716908772786,0.3297656856668456,327.8333333333333,655.6666666666666,12,0.1734173595905304,0.3468347191810608,2,2,0.1,0.5,5,5,6,5.5
20,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
21,train,168.23416,0.3770056,428.27777777777777,856.5555555555555,9,0.1950383186340332,0.3900766372680664,2,2,0.1,0.5,5,5,6,5.5
22,train,127.1578799161044,0.36447689138149014,342.90909090909093,685.8181818181819,11,0.18449755012989044,0.3689951002597809,2,2,0.1,0.5,5,5,6,5.5
23,train,150.61768,0.3527863,400.9,801.8,10,0.1892038881778717,0.3784077763557434,2,2,0.1,0.5,5,5,6,5.5
24,train,106.65752,0.31635067,333.27272727272725,666.5454545454545,11,0.17695531249046326,0.3539106249809265,2,2,0.1,0.5,5,5,6,5.5
25,train,122.3178939819336,0.35476633946911823,336.04545454545456,672.0909090909091,11,0.17932069301605225,0.3586413860321045,2,2,0.1,0.5,5,5,6,5.5
25,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
26,train,129.51701771129262,0.3349757612670363,356.3181818181818,712.6363636363636,11,0.18266412615776062,0.36532825231552124,2,2,0.1,0.5,5,5,6,5.5
27,train,156.8784,0.35790682,417.22222222222223,834.4444444444445,9,0.18605941534042358,0.37211883068084717,2,2,0.1,0.5,5,5,6,5.5
28,train,121.27580006917317,0.3602989443739433,331.5833333333333,663.1666666666666,12,0.18782702088356018,0.37565404176712036,2,2,0.1,0.5,5,5,6,5.5
29,train,114.431984,0.32924464,341.90909090909093,683.8181818181819,11,0.1698293834924698,0.3396587669849396,2,2,0.1,0.5,5,5,6,5.5
30,train,140.20184,0.36126772,372.22727272727275,744.4545454545455,11,0.18825915455818176,0.3765183091163635,2,2,0.1,0.5,5,5,6,5.5
30,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
31,train,118.51133028666179,0.36166948297300755,313.7083333333333,627.4166666666666,12,0.18882933259010315,0.3776586651802063,2,2,0.1,0.5,5,5,6,5.5
32,train,125.44098790486653,0.35631486615384206,340.5,681.0,12,0.18399542570114136,0.3679908514022827,2,2,0.1,0.5,5,5,6,5.5
33,train,113.13049,0.3263519,339.90909090909093,679.8181818181819,11,0.1719498485326767,0.3438996970653534,2,2,0.1,0.5,5,5,6,5.5
34,train,197.90736,0.42803344,449.77777777777777,899.5555555555555,9,0.22187945246696472,0.44375890493392944,2,2,0.1,0.5,5,5,6,5.5
35,train,125.59855651855469,0.3447262964386072,350.22727272727275,700.4545454545455,11,0.17780879139900208,0.35561758279800415,2,2,0.1,0.5,5,5,6,5.5
35,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
36,train,118.60553,0.36689314,319.3333333333333,638.6666666666666,12,0.18298816680908203,0.36597633361816406,2,2,0.1,0.5,5,5,6,5.5
37,train,131.85263,0.32832077,387.9,775.8,10,0.16900937259197235,0.3380187451839447,2,2,0.1,0.5,5,5,6,5.5
38,train,118.8243293762207,0.3185773417960226,365.65,731.3,10,0.17500446736812592,0.35000893473625183,2,2,0.1,0.5,5,5,6,5.5
39,train,132.41689855402166,0.3607060867934634,350.77272727272725,701.5454545454545,11,0.1856158822774887,0.3712317645549774,2,2,0.1,0.5,5,5,6,5.5
40,train,127.2573311545632,0.34588938934046703,357.3636363636364,714.7272727272727,11,0.17739272117614746,0.3547854423522949,2,2,0.1,0.5,5,5,6,5.5
40,eval,1118.1920043945313,2.956784828834465,366.8,nan,1,nan,nan,2,2,0.1,0.5,5,5,6,5.5,eval
